Автор,Цитата,Link
 --> "Оскар Уайльд","Идея, которая не кажется опасной, и не идея вовсе!",http://forismatic.com/ru/d1aaaa0c6b/
 --> "Оскар Уайльд","О чем не говоришь, того как будто не было. Только слова придают реальность явлениям.",http://forismatic.com/ru/29c61973aa/
 --> "Оскар Уайльд","Самая обыкновенная безделица приобретает удивительный интерес, как только начинаешь скрывать ее от людей.",http://forismatic.com/ru/feb02fa799/
 --> "Паоло Коэльо","Если ты чего-нибудь хочешь, вся Вселенная будет способствовать тому, чтобы желание твое сбылось. ",http://forismatic.com/ru/13e7cad1ea/
 --> "Пауло Коэльо","Чудесам случаться позволяет желание верить, что жизнь есть чудо. ",http://forismatic.com/ru/b6fdbe1173/
 --> "Пауло Коэльо","Воин света внимательно вглядывается в детские глаза, ибо им дано видеть мир, лишённый горечи. Когда воин света хочет узнать, достоин ли доверия тот, кто рядом с ним, он старается увидеть его глазами ребёнка. ",http://forismatic.com/ru/88a330234c/
 --> "Питер Шульц","Когда ничего не меняется, вперед выбивается посредственность. ",http://forismatic.com/ru/7d57adc74f/
 --> "Пифагор Самосский","Старайся прежде быть мудрым, а ученым — когда будешь иметь свободное время. ",http://forismatic.com/ru/0c2f901a34/
 --> "Публий Вергилий Марон","Смелым помогает судьба. ",http://forismatic.com/ru/b593ab0662/
 --> "Ралф Эмерсон","Каждый человек, которого я встречаю, меня в чем-то превосходит, и в этом смысле я могу у него поучиться.",http://forismatic.com/ru/8e02136b3f/
 --> "Ричард Бах","Для того чтобы стать свободным и счастливым, ты должен пожертвовать скукой. Не всегда такую жертву принести легко.",http://forismatic.com/ru/180754dee9/
 --> "Ричард Брэнсон","Жизнь коротка, чтобы тратить ее на вещи, которые не приносят удовольствия. Если есть голова на плечах и достаточно задора в сердце, любая цель будет по силам. Если что-то нравится — делай. Не нравится — бросай не раздумывая. ",http://forismatic.com/ru/fd76db4a22/
 --> "Робин Шарма","Творчество приходит тогда, когда вы расслаблены, счастливы и наслаждаетесь настоящим. ",http://forismatic.com/ru/5686bcc746/
 --> "Робин Шарма","Каждый день жизни посылает вам небольшие окошки в «возможность». В конечном счете вся ваша судьба будет зависеть от вашей реакции на такие моменты. ",http://forismatic.com/ru/9771beb389/
 --> "Робин Шарма","Если вы хотите стать более счастливым, делайте больше таких вещей, которые делают вас счастливым. ",http://forismatic.com/ru/71936e29f7/
 --> Руми,"Ты более драгоценен, чем небо и земля, ты сам себе цены не знаешь.",http://forismatic.com/ru/8ce56b7dd1/
 --> Саади,"Тот, кто дает упрямцу совет, сам нуждается в совете. ",http://forismatic.com/ru/be041c52da/
 --> "Самюэл Батлер","Единственное, к чему стоит относиться серьезно, так это то, что ни к чему нельзя относиться серьезно.",http://forismatic.com/ru/d9d9f6763c/
 --> "Свами Анантананда","Все мелкие и крупные проблемы нашей жизни в конечном счёте сводятся к одной-единственной великой проблеме: незнанию себя.",http://forismatic.com/ru/270c348dcc/
 --> Солон,"О тайном догадывайся по явному.",http://forismatic.com/ru/df932f8e2c/
 --> "Софья Сегюр","Мужчины говорят о женщинах все, что им нравится, а женщины делают из мужчин все, что им хочется. ",http://forismatic.com/ru/3dca569ef5/
 --> "Станислав Ежи Лец","Часто одной только смелости мало, нужна еще на­глость. ",http://forismatic.com/ru/017baf4a1e/
 --> "Стивен Райт","Нельзя иметь все. Куда вы все это положите? ",http://forismatic.com/ru/17c4d2004c/
 --> "Сюнь Цзы","Породистый скакун одним прыжком не сможет покрыть расстояния в тысячу ли. На кляче можно преодолеть это расстояние за десять дней, если не останавливаться на полпути.",http://forismatic.com/ru/8f8e88f02c/
 --> Теренций,"Сколько людей, столько и мнений.",http://forismatic.com/ru/979879c6c8/
 --> "Томас Карлейль","В тебе знание того, в чем высшее совершенство. В тебе же и препятствия к достижению его. Твое положение — это то самое, над чем ты должен работать, чтобы приблизиться к совершенству.",http://forismatic.com/ru/374beb7299/
 --> "Фрэнк Уитни","Всякий раз когда человек добивается успеха, его последующее достижение становится более легким. Он начинает мыслить категориями успеха и двигаться к большему успеху. ",http://forismatic.com/ru/0aa81a494f/
 --> "Хун Цзычен","Из неудачи нередко можно извлечь полезный урок, поэтому промахи — лучшее подспорье делу ",http://forismatic.com/ru/0ca7c38e4d/
